username,review,product,clean_review
sri,warna bagus sesuai pesanan,O.TWO.O Matte Lipstick Misty Kiss Lock Color Silky 24H Long Lasting Lip Make Up Lip Stik,warna bagus sesuai pesan
N***i,Asli,Facetology Triple Care Hydra Cleanse Micellar Water Pembersih Make Up,asli
i***n,sukak banget sama produk ini,Gendes Sweet Aromatic Feminine Spray 7 Miracle Bioactives Merawat Kewanitaan,sukak banget sama produk
e***a,pesan masker yg dikirim body lotion,White Glow Perfect Mask by SKINFLAIR Masker Wajah Tone Up Pencerah,pesan masker yang kirim body lotion
sukmawati,"pesen 2 sabun kojic plangton,saat dibuka bungkus yg pertama kok warnanya hijau,dan tidak aja jaring untuk tempat sabunnya,terus sy perhatikan bungkus sabunnya ternyata ti... ",Bright & Glow Face Soap by Kojic Plankton | Brightening Soap - 40gr,sen 2 sabun kojic plangtonsaat buka bungkus yang pertama kok warna hijaudan aja jaring tempat sabunnyaterus sy perhati bungkus sabun nyata ti
Widyawati,Alhamdulillah dpt harga discount,Azarine Calm My Acne Sunscreen Moisturiser SPF35 PA+++ Sunblock Acne,alhamdulillah dpt harga discount
ariel,JOSSSSSSSSSS!,Facetology Triple Care Hydra Cleanse Micellar Water Pembersih Make Up,jossssssssss
T***i,dicatatan sudah ditulis minta bagian tutup diselotip agar kuat ga bocor tetapi ga diselotip juga jadi bocor didalam paket,Kojie San Body Wash Series Body Shower Goats Milk Kojic Acid Glow Skin,catat tulis minta bagi tutup diselotip kuat ga bocor ga diselotip jadi bocor dalam paket
Nia,Alhamdulillah kulit sdah agak cerahan sering pakai produk ini,Brightening Booster Gold Powder Serbuk Pemutih Badan Whitening Powder,alhamdulillah kulit sdah cerah sering pakai produk
Muhammad,Makasi penghantaran cepet👍🏻,SKINTIFIC Mugwort Clay Mask Stick for Kulit Sensitif Masker Wajah Acne,makas hantar cepet
A***r,"cepat sampai nya
barang ori
toko fast respon",KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri,cepat nya barang ori toko fast respon
h***r,"sesuai, pengiriman barang aman, makasih",Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic,sesuai kirim barang aman makasih
A***y,"Bahannya ringan,gampang dibersihkan, gamp",Whitelab Brightening Facial Wash Sabun Wajah Brightening Face Wash,bahan ringangampang bersih gamp
kyysa,sumpah bgs bangetttttt!!!!!!! 😍,Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion,sumpah bgs bangetttttt
Z***a,"best bgt parfumnya, wangi tahan lama dan fresh",TALKME Sparkling Body Mist Parfum Fragrance Mist Tahan Lama Talk Me,best banget parfum wangi tahan lama fresh
S***l,"aman barangnya ga ada kebocoran 
wanginya manis
makasih",Tata Keratin Daily Vitamin Hair Mist Parfum Rambut Hair Parfume ,aman barang ga bocor wangi manis makasih
S***l,"halus brown nya
aman packingannya 
makasih",PINKFLASH Waterproof Easy Eyebrow Pencil Pensil Alis,halus brown nya aman packingannya makasih
E***g,"Produk berkualitas dan original, kecepatan jasa kirim sangat baik",Diosys Semir Rambut Cat Pewarna Rambut Hair Color Permanent - 45 ml,produk kualitas original cepat jasa kirim sangat baik
agustian,"barang bagus, kukira agak gede ternyata segede kutil wkwk",SKINTIFIC 4D Hyaluronic Acid ( HA ) Barrier Essence Toner Pelembab ,barang bagus kira gede nyata gede kutil wkwk
Rully,bagus dan sesuai,Chierra Pink Glow Up Mask Masker Wajah Whitening Agents Clay Mask,bagus sesuai
R***a,"paket datang dalam keadaan bagus dan baik, pengiriman barang sesuai estimasinya, packing nya aman dan rapih, semoga bermanfaat",ISWHITE Whitening Ultimate Body Mask Masker Badan Pencerah Tubuh,paket datang ada bagus baik kirim barang sesuai estimasi packing nya aman rapih moga manfaat
renatadheaaa,cocok buat ngerahin kulit,HOUSEE OF BEAUTY Serum Brightening Glow Up Pure White Booster Glowing ,cocok buat ngerahin kulit
s***o,"produk sesuai deskripsi, packing aman kemasan masih segel, pengiriman cepat",MS Glow Face Wash | Sabun Wajah MS Glow MSGlow,produk sesuai deskripsi packing aman kemas segel kirim cepat
e***a,ringan dan tidak lengket,Facetology Triple Care Hydra Cleanse Micellar Water Pembersih Make Up,ringan tidak lengket
D***o,"seller mwantabs
pengiriman cepat
kurir mwantabs
trimakasih",TALKME Parfum Rich Series 30ML - Parfum Eau De Toilette Tahan Lama,seller mwantabs kirim cepat kurir mwantabs trimakasih
D***o,"seller mwantabs
pengiriman cepat
kurir mwantabs
trimakasih",Talkme Star Series Eau De Parfum EDP Parfume Minyak Wangi Luxury Mewah Talk Me,seller mwantabs kirim cepat kurir mwantabs trimakasih
S***A,"baru pertama kali coba sama produk ini, siapa tau cocok",Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic,baru pertama kali coba sama produk siapa tau cocok
Transporter,"Barang sesuai deskripsi
Respon penjual cepat
Ekapedisi sesuai jadwal
Terima kadih semua 🙏",Parfum Evangeline Zodiac Capricorn 50ml / Evangeline Zodiak Capricorn,barang sesuai deskripsi respon jual cepat ekapedisi sesuai jadwal terima kadih semua
B***i,mantaps 👍👍👌,Talkme Star Series Eau De Parfum EDP Parfume Minyak Wangi Luxury Mewah Talk Me,mantaps
d***a,"makasih ka paketnya udh diterima, maaf ya baru ngasi ulasan. beli waktu 11.11 dgn harga yg lumayan miring, beneran dikonfir sm selernya. Thankyou kk baik❤",HOUSEE OF BEAUTY Serum Brightening Glow Up Pure White Booster Glowing ,makasih ka paket udh terima maaf baru ngasi ulas beli waktu 1111 dgn harga yang lumayan miring beneran dikonfir sm selernya thankyou kk baik
Yudi,"Meski salah pengiriman, tapi seller sangat kooperatif & gercep.
Barang  original..
Trims",Ms Glow Paket Whitening Series Free Pouch - Cream Pemutih Wajah,meski salah kirim seller sangat kooperatif gercep barang original trims
Julian,Pesanan sudah diterima dan kondisi baik sekali dan kualitasnya sesuai harapan terima kasih .. lagi lagi komplain untuk kurir yang gratis dari toped paket di lempar di ter... ,Diosys Semir Rambut Cat Pewarna Rambut Hair Color Permanent - 45 ml,pesan terima kondisi baik sekali kualitas sesuai harap terima kasih lagi komplain kurir gratis toped paket lempar ter
anton,mantabbbss................................,Secret Clean Propolis Antiseptic Mouthwash Obat Kumur Pembersih Mulut,mantabbbss
m,"lain kali kalau kirim mohon lebih teliti lagi, supaya tdk terjadi salah kirim, iya mau tanggung jawab untuk diganti barang, tapi saya rugi waktu dan ongkir untuk kirim ba... ",Chroma Bright Brightening Body Soap Flohera Sabun Mandi Pemutih Badan,kali kalau kirim mohon lebih teliti supaya tidak jadi salah kirim iya mau tanggung jawab ganti barang saya rugi waktu ongkir kirim ba
Bambang,memutihkan kulit dengan progress yang relatif cepat,Vaseline Gluta-Hya Serum Burst Lotion Body Serum Body Lotion,mutih kulit progress relatif cepat
Bambang,terasa sedikit pedas saat digunakan,Ms Glow Lip Serum Super Shine Lip Serum MsGlow Serum Bibir,asa sedikit pedas guna
juli,"mantap bang, sesuai pesanan",Kahf Skin Energizing And Brightening Face Wash Sabun Wajah Pria,mantap bang sesuai pesan
n***a,Barang datang selamat untuk parfumnya enak baunya mana harganya murah,Evangeline Sakura 100ml : Black Parfum Original Untuk Wanita Murah Ber,barang datang selamat parfum enak bau mana harga murah
A***a,"pas datang tutup nya kendor dan teksturnya cair
tulisan berbeda dengan yg asli, ujungnya juga berbeda dengan yg asli
guys hati2 yaa, ku kira emg karna kelamaan di jalan m... ",FACETOLOGY Triple Care Sunscreen SPF 40 PA+++ Sunblock Wajah ,pas datang tutup nya kendor tekstur cair tulis beda yang asli ujung beda yang asli guys hati2 yaa ku kira emg karna lama jalan m
Sofia,baru pertama nyoba smoga cocok,Ms Glow Face Wash Sabun Wajah Facial Wash Bright Cell DNA Cleanser Wajah Acne MsGlow,baru pertama nyoba smoga cocok
Fikri,"Saya suka produknya, baunya harum & tdk lengket.
semoga bz menyuburkan rambut
Thanks seller 👍",Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic,suka produk bau harum tidak lengket moga bz subur rambut thanks seller
S***i,"Baru nyoba 1 kali beli produk ini sich.. Kalo dari iklan yg ada sich bagus bgt hasilnya.. Yaa Semoga beneran bagus dan cocok di kulit aq yaaa.. Klo cocok, nex bakaln orde... ",Reglow Sunscreen Luxury Glow Up Protection SPF 50 PA+++ Sunblock Spray,baru nyoba 1 kali beli produk sich kalo iklan yang sich bagus banget hasil yaa moga beneran bagus cocok kulit aq yaaa klo cocok nex bakaln orde
H***a,"Ga begitu manis, bisa dijadikan campuran musli/granola",Hotto Purto Multigrain Superfood Purple Potato Sereal Oat Drink Cereal,ga manis jadi campur musligranola
F***y,"Mantappp meski seperti nya agak tumpah ketika di perjalanan, dimaklumi aja dan semoga memuaskan",Maydooza Double Arbutin Night Whitening Booster Body Lotion Infused Whitening Hand Body Pemutih,mantappp meski nya tumpah di jalan maklum aja moga muas
Barkah,harum melembabkan kulit,Kojie San Body Wash Series Body Shower Goats Milk Kojic Acid Glow Skin,harum melembabkan kulit
Risyandini,"tersegel, semoga cocok untuk si kecil",Azarine Kids Fun In The Sun Skin Protector Sunscreen SPF 40 PA+++ Sunblock Anak,segel moga cocok si kecil
Risyandini,"sesuai pesanan, semoga cocok biar bisa repet order",BIOAQUA sheet mask Brightening Hydrating Essence face Mask Bioaqua,sesuai pesan moga cocok biar repet order
Risyandini,"masih tersegel, dan lama nya di pengiriman",Glad2Glow Milk Amino Acid Gentle Cleanser Brightening Face Wash Sabun Cuci Muka,segel lama nya kirim
eko,cocok kata istri saya,Noera Collagen Drink Minuman Serbuk Colagen Pemutih Badan Beauty Drink,cocok kata istri
g***y,"baru sekali pake, tapi semoga cocok sii, ga perih dimata, ga bikin kering di kulit muka (tergantung si ini, klo di aku aman)",SCORA 1% Salicylic Acid D-Panthenol Gentle Low pH Cleanser Sabun Cuci Muka Sensitive Facial Wash,baru sekali pake moga cocok sii ga perih mata ga bikin kering kulit muka gantung si klo aku aman
J***s,"cocok banget pake npure, pengiriman cepat dan aman",N'Pure Licorice Light It Up Brightening Pad Peeling Kapas N'Pure,cocok banget pake npure kirim cepat aman
Musyarofah,barang sesuai pesanan.. harum bgt..,Careso Body Lotion Brightening Tube Series Hand Body Mini Size Travel ,barang sesuai pesan harum banget
a***n,lembut dan wanginya enak bngt bkin fresh..,Gendes Paket Bundling Feminine Wash Foam & Sweet Aromatic Feminine Care Spray Pembersih Kewanitaan,lembut wangi enak bngt bkin fresh
F***y,"Mantappp meski seperti nya agak tumpah ketika di perjalanan, dimaklumi aja dan semoga memuaskan",Maydooza Double Arbutin Night Whitening Booster Body Lotion Infused Whitening Hand Body Pemutih,mantappp meski nya tumpah di jalan maklum aja moga muas
Barkah,harum melembabkan kulit,Kojie San Body Wash Series Body Shower Goats Milk Kojic Acid Glow Skin,harum melembabkan kulit
Risyandini,"tersegel, semoga cocok untuk si kecil",Azarine Kids Fun In The Sun Skin Protector Sunscreen SPF 40 PA+++ Sunblock Anak,segel moga cocok si kecil
Risyandini,"sesuai pesanan, semoga cocok biar bisa repet order",BIOAQUA sheet mask Brightening Hydrating Essence face Mask Bioaqua,sesuai pesan moga cocok biar repet order
Risyandini,"masih tersegel, dan lama nya di pengiriman",Glad2Glow Milk Amino Acid Gentle Cleanser Brightening Face Wash Sabun Cuci Muka,segel lama nya kirim
eko,cocok kata istri saya,Noera Collagen Drink Minuman Serbuk Colagen Pemutih Badan Beauty Drink,cocok kata istri
g***y,"baru sekali pake, tapi semoga cocok sii, ga perih dimata, ga bikin kering di kulit muka (tergantung si ini, klo di aku aman)",SCORA 1% Salicylic Acid D-Panthenol Gentle Low pH Cleanser Sabun Cuci Muka Sensitive Facial Wash,baru sekali pake moga cocok sii ga perih mata ga bikin kering kulit muka gantung si klo aku aman
J***s,"cocok banget pake npure, pengiriman cepat dan aman",N'Pure Licorice Light It Up Brightening Pad Peeling Kapas N'Pure,cocok banget pake npure kirim cepat aman
Musyarofah,barang sesuai pesanan.. harum bgt..,Careso Body Lotion Brightening Tube Series Hand Body Mini Size Travel ,barang sesuai pesan harum banget
a***n,lembut dan wanginya enak bngt bkin fresh..,Gendes Paket Bundling Feminine Wash Foam & Sweet Aromatic Feminine Care Spray Pembersih Kewanitaan,lembut wangi enak bngt bkin fresh
F***y,"Mantappp meski seperti nya agak tumpah ketika di perjalanan, dimaklumi aja dan semoga memuaskan",Maydooza Double Arbutin Night Whitening Booster Body Lotion Infused Whitening Hand Body Pemutih,mantappp meski nya tumpah di jalan maklum aja moga muas
Barkah,harum melembabkan kulit,Kojie San Body Wash Series Body Shower Goats Milk Kojic Acid Glow Skin,harum melembabkan kulit
Risyandini,"tersegel, semoga cocok untuk si kecil",Azarine Kids Fun In The Sun Skin Protector Sunscreen SPF 40 PA+++ Sunblock Anak,segel moga cocok si kecil
Risyandini,"sesuai pesanan, semoga cocok biar bisa repet order",BIOAQUA sheet mask Brightening Hydrating Essence face Mask Bioaqua,sesuai pesan moga cocok biar repet order
Risyandini,"masih tersegel, dan lama nya di pengiriman",Glad2Glow Milk Amino Acid Gentle Cleanser Brightening Face Wash Sabun Cuci Muka,segel lama nya kirim
eko,cocok kata istri saya,Noera Collagen Drink Minuman Serbuk Colagen Pemutih Badan Beauty Drink,cocok kata istri
g***y,"baru sekali pake, tapi semoga cocok sii, ga perih dimata, ga bikin kering di kulit muka (tergantung si ini, klo di aku aman)",SCORA 1% Salicylic Acid D-Panthenol Gentle Low pH Cleanser Sabun Cuci Muka Sensitive Facial Wash,baru sekali pake moga cocok sii ga perih mata ga bikin kering kulit muka gantung si klo aku aman
J***s,"cocok banget pake npure, pengiriman cepat dan aman",N'Pure Licorice Light It Up Brightening Pad Peeling Kapas N'Pure,cocok banget pake npure kirim cepat aman
Musyarofah,barang sesuai pesanan.. harum bgt..,Careso Body Lotion Brightening Tube Series Hand Body Mini Size Travel ,barang sesuai pesan harum banget
a***n,lembut dan wanginya enak bngt bkin fresh..,Gendes Paket Bundling Feminine Wash Foam & Sweet Aromatic Feminine Care Spray Pembersih Kewanitaan,lembut wangi enak bngt bkin fresh
