username,review,product,clean_review
R***a,"produk sesuai pesanan. penjual responsif, expired msh lama. terimakasih.",Makarizo Hair Energy Fibertherapy Conditioning Shampoo Shampo 2in1,produk sesuai pesan jual responsif expired msh lama terimakasih
F***n,Oke oke oke...,ELVICTO Deep Clean Facewash Sabun Pembersih Wajah Facewash For Men,oke oke oke
E***a,"Terimakasih gift no wonder 8 nya, bagus & terpakai",Somethinc HYALuronic9+ Advanced + B5 Serum Wajah Hydrathing Serum,terimakasih gift no wonder 8 nya bagus pakai
Ahmad,"pengiriman sangat lama, jadi bintang 4 saja",Glad2Glow Toner Centella Propolis Brightening Exfoliating Toner Face Toner Acne,kirim sangat lama jadi bintang 4
D***i,bsnahabbaabananananananananananananananannaannaananan,Parfum Pria Braven Sport -100ml Eau De Parfum Men Tahan Lama,bsnahabbaabananananananananananananananannaannaananan
Hera,"pas buka wrappingx,, yg variant refresh agak tumpah sdkit jdi btol nya bsah tpi takpelah 
semoga cocok",Kelaya Hair Revitalizer Mist Hair Parfum Vitamin Rambut Hair Care,pas buka wrappingx yang variant refresh tumpah sdkit jdi btol nya bsah tpi takpelah moga cocok
Hera,"baru coba
semoga cocok",Kelaya Hair Care Series Hair Serum & Hair Treatment Minyak Kemiri,baru coba moga cocok
Mardi,"Produknya kurang menunjukkan hasil, kekurangan nya memiliki efek white cast yang mana setelah penggunaan, kulit  jadinya lebih ke pucat dan tidak fresh, setelah penggunaa... ",KOJIE SAN Body Lotion Series Hand Body Pemutih Kojiesan,produk kurang tunjuk hasil kurang nya milik efek white cast mana guna kulit jadi lebih pucat tidak fresh penggunaa
Gie,"ini untuk cewek atau udah cerah dari aslinya kalau cocok bikin tambah aegerrrr...kalau untuk kulit gelap/cowok lumayan bikin cerah, cuma melembabkan aja. tapi dipakai ena... ",Nuface Nu Glow Facial Serum Vitamin C - 20 ml,cewek udah cerah asli kalau cocok bikin tambah aegerrrrkalau untuk kulit gelapcowok lumayan bikin cerah cuma melembabkan aja pakai ena
Gie,"ini untuk kulit cewek atau udah cerah dari aslinya... kalau untuk kulit gelap/cowok ga bakalan cerah, cuma melembabkan aja. tapi dipakai enak cepet merata. 
trims Tokoped... ",Nuface Nu Glow Liquid Brighten & Supple Skin Serum (Niacinamide Serum),kulit cewek udah cerah asli kalau untuk kulit gelapcowok ga bakal cerah cuma melembabkan aja pakai enak cepet rata trims tokoped
D***a,"barang mendarat dengan selamat..
wanginya lumayan tahan lama.",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,barang darat selamat wangi lumayan tahan lama
F***h,"Oke barang sesuai pesanan.. packing aman, exp date aman.. mantap 👍",Secret Clean Propolis Antiseptic Mouthwash Obat Kumur Pembersih Mulut,oke barang sesuai pesan packing aman exp date aman mantap
Erni,krim nya bau tidak seperti biasa nya,MS Glow Whitening Day Cream | Krim Crem Pagi Ms Glow,krim nya bau seperti biasa nya
Muhammad,"pas di unbox puas banget pacing rapih udah pake bubble warp sama ada kardusnya, mantep abiesss",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,pas unbox puas banget pacing rapih udah pake bubble warp sama kardus mantep abiesss
Apipudin,mantaappp.. barang original,MS Glow Men Power Serum Original Serum MSGlow For Men,mantaappp barang original
Apipudin,mantaaappp.. barang original,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men,mantaaappp barang original
Irma,"barang sudah sampai, sesuai pesanan makasih kk",SALSA Nail Peel Off Kuteks Set Cat Kuku Nail Polish Halal Kutek Hijab,barang sampai sesuai pesan makasih kk
alpa,maannntaaaappp,Bright & Glow Face Soap by Kojic Plankton | Brightening Soap - 40gr,maannntaaaappp
alpa,joosss,Kahf Skin Energizing And Brightening Face Wash Sabun Wajah Pria,joosss
nur,wangi bener,Braven Black Series - 100ml Eau De Parfume Men,wangi bener
M***d,Parfum sangat wangi untuk harga kantong pelajar,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance,parfum sangat wangi harga kantong ajar
Zulham,"Sesuai dengan pesanan, seller responsif, pengiriman cepat and thanks bonus tasnya",Ms Glow Paket Whitening Series With White Cell DNA Pencerah Wajah MsGlow,sesuai pesan seller responsif kirim cepat and thanks bonus tas
s***a,"barang ori, cocok dikulit berminyak, exp jg masih lama dan sellernya ramah.",EIEM Beauty Series Moisturizer/ Serum Brightening Acne Hydrating Toner,barang ori cocok kulit minyak exp jg lama sellernya ramah
s***a,"barang ori, harga terjangkau dan adminnya ramah bgtt.",Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic,barang ori harga jangkau adminnya ramah bgtt
kusmana,paket sudah diterima pengiriman cepat barang ok anak saya senang👍👍,Yessica's Clay Stick Mask Tea Three & Strawberry Anti Pores & Acne Masker Wajah,paket terima kirim cepat barang anak senang
kayvan,"alhamdulillah barangnya sudah sampai dan wanginya enak bangett, nanti mau coba varian lainnya dari elvicto. keep it upp !!",ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria,alhamdulillah barang sampai wangi enak bangett mau coba varian lain elvicto keep it upp
Bagus,"barang original, tp yg saya keluhkan ekspedisinya masak sby-blitar aja 8hari.
tokopedia jangan kerjasama dg JNE pliss",Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men,barang original tp yang keluh ekspedisi masak sbyblitar aja 8hari tokopedia jangan kerjasama dg jne pliss
R***u,wangi bagus tapi kok kalo kena air kek hilang gitu ga bau nya apa emang begitu,Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,wangi bagus kok kalo kena air kek hilang gitu ga bau nya apa emang
Anakva,jos,Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic,jos
Yustian,"Bagus, seller cepat tanggap.",Braven Black Series - 100ml Eau De Parfume Men,bagus seller cepat tanggap
F***Y,bagussss,Ms Glow Night Cream White Cell DNA Cream Wajah Pemutih MsGlow,bagussss
B***s,ori jngn diragukan lagi,Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel,ori jngn ragu
Sulianto,"Packing rapi, barang ori, mantap",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,packing rapi barang ori mantap
Landeng,barang packing aman..semoga cocok,Mustika Ratu All Series Shampoo 175ml Perawatan Rambut Mustika Ratu,barang packing amansemoga cocok
Kholilah,ngk expec ternyata sebesar itu,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,ngk expec nyata besar
A***d,wangi lembut,Grace And Glow - Brightening Body Serum 2in1 Parfume,wangi lembut
A***l,Alhamdulillah akhirnya paket datang juga barang datang sesuai pesanan.. makasih seller,MS Glow Whitening Day Cream | Krim Crem Pagi Ms Glow,alhamdulillah akhir paket datang barang datang sesuai pesan makasih seller
Mamik,bagus sesuai,Yessica's 5in1 Crystal Glowing Cream Krim Wajah Goat Milk Moisturizer Facial Moist Pelembab Wajah Yessica,bagus sesuai
Wahyu,"Wanginya sangat nyaman n enak.. gak bikin eneg.. Memang tipe buat malam nih parfum.. 
Kualitas memang bagus..",ELVICTO 10PM Extrait De Parfum For Men EDP Perfume Tahan Lama,wangi sangat nyaman n enak gak bikin eneg memang tipe buat malam nih parfum kualitas memang bagus
c***o,nice,Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,nice
huff,"wanginya g keluar, ky bau air",Parfum Evangeline Batik Elle 100ml / Parfum Wanita Original,wangi g keluar ky bau air
EKO,Barang sdh Sampai & Sesuai Pesanan Thanks,Kelaya Hair Revitalizer Mist Hair Parfum Vitamin Rambut Hair Care,barang sdh sesuai pesan thanks
Antonius,"Pelayanan cepat, pengiriman sesuai estimasi, terima kasih seller dan Tokopedia",Hotto Purto Multigrain Superfood Purple Potato Sereal Oat Drink Cereal,layan cepat kirim sesuai estimasi terima kasih seller tokopedia
Hidayanto,barang sudah sampai terimaksih,Facetology Real Oat Triple Care Facial Gel Cleanser Sabun Cuci Muka,barang sampai terimaksih
Marselinus,Kojie san body scrub dah sampai. Mantapppp👍👍👍,Kojie San Body Scrub Series Lulur Badan Glow Skin Kojic Acid Goat Milk,kojie san body scrub dah mantapppp
s***u,"baru mau coba,,semoga cocok",Autumn 7% Glycolic Acid Toner Solution Exfoliating Toner Wajah,baru mau cobasemoga cocok
