username,review,clean_review
Udi Meyliyan,Ini knp ya Tokopedia mengambil saldo dana sana padahal saya TDK pernah membeli produk dari toko pedia dan data transaksinya juga gak ada tapi saldo dana saya transaksinya dari toko pedia,knp tokopedia ambil saldo dana sana padahal tidak pernah beli produk toko dia data transaksi gak tapi saldo dana transaksi toko dia
LUCKY RUSLI,"Pelayanan tambah merugikan pembeli apa lagi dengan ada nya kurir rekomendasi makin lama paket di Terima, kaya bola pingpong epedisi rekomendasi, engga rekomendasi lah belanja di tokopedia lama sampai, engga ada diskon",layan tambah rugi beli apa dengan nya kurir rekomendasi makin lama paket terima kaya bola pingpong epedisi rekomendasi engga rekomendasi lah belanja tokopedia lama engga diskon
ARKO IDE,"KRONOLOGINYA : saya beli barang di ""ROOM SPAREPART"" kota SEMARANG barat. Toko mengirimkan barang yg tidak sesuai, setelah dikomplain toko tidak mengakui kesalahannya. Setelah dilakukan proses retur dan sampai ke tujuan TOKO ROOM SPAREPART tidak punya itikad baik untuk merespon pengrmbalian barang.. sampai hari ini DANA BELUM KEMBALI padahal barang sudah sampai toko. DIMOHON UNTUK BERHATI HATI MENGGUNAKAN PLATFORM INI, semoga tidak terjadi pada yg lain",kronologi beli barang room sparepart kota semarang barat toko kirim barang yang sesuai komplain toko aku salah laku proses retur tuju toko room sparepart punya itikad baik merespon pengrmbalian barang sampai hari dana kembali padahal barang sampai toko mohon hati hati guna platform moga jadi yang
Agustina pita,Kecewa bgt yaa sama aplikasi nya Baru juga belanja pertama malah di batalkan sama sistem nya Padahal udh berharap bgt sama pesanan nya kaget dong tiba2 notif di batalkan huhuuu Its oke No problem masih ada aplikasi lain 👌🏻,kecewa banget yaa sama aplikasi nya baru belanja pertama malah batal sama sistem nya padahal udh harap banget sama pesan nya kaget dong tiba2 notif batal huhuuu its oke no problem ada aplikasi
Muhamad Ilhamhabibi,"Pembatalan pesanan saya untuk pembelian sepeda listrik, uang saya IDR. 3.000.000 belum masuk ke rekening saya tolong proses nya di percepat karna saya mau pakai belanja uangnya jangan dibikin lama",batal pesan untuk beli sepeda listrik uang idr 3000000 masuk rekening tolong proses nya cepat karna mau pakai belanja uang jangan bikin lama
Sultan Zahran,"Saya kesel banget kenapa pas mau bayar pake promo malah gak bisa,hadehh trus ada tulisan promo sudah tidak berlaku silahkan byar tanpa promo tolong lah mau beli mas gak bisa pake promo nya hadeh😡",kesel banget pas mau bayar pake promo malah gak bisahadehh trus tulis promo tidak laku silah byar promo lah mau beli mas gak pake promo nya hadeh
Eko Trisdianto,"Terlalu banyak biaya ini itu. Contoh wajib asuransi + biaya admin + biaya layanan. Jadi harga malah melonjak tinggi dari seller yg di tawarkan, kurir nya pada ga punya aturan. Sering lempar paket langsung kabur",terlalu banyak biaya itu contoh wajib asuransi biaya admin biaya layan jadi harga malah lonjak tinggi seller yang tawar kurir nya ga punya atur sering lempar paket langsung kabur
Abi Harits Haris,"Dari thn 2019 saya berlangganan Tokopedia tapi sekarang makin buruk pelayanannya: -- Member Platinum tapi tdk ada keistimewaan yg di dapat, padahal di thn 2022 saya mendapatkan Gratis Ongkir Sameday (kalau Ongkir hanya 20rb) karena termasuk Member Platinum. -- JUARA ULASAN tapi jg tdk ada keistimewaan apapun yg saya dapat, sekarang saya jadi malas memberi ulasan produk. -- Tdk bisa komplain tentang Jasa Ekspedisi, hanya bisa Komplain tentang Seller. -- Saldo Tokped tdk bisa di gabung dg Gopay",thn 2019 langgan tokopedia sekarang makin buruk layan member platinum tidak istimewa yang dapat padahal thn 2022 dapat gratis ongkir sameday kalau ongkir 20rb masuk member platinum juara ulas jg tidak istimewa apa yang dapat sekarang jadi malas beri ulas produk tidak komplain jasa ekspedisi komplain seller saldo tokped tidak bisa di gabung dg gopay
Sakwan,"Pengiriman kurirnya lama dan lelet, udah berhari hari dibawa kurir tapi belum sampe sampe juga, malahan yang ada tiap hari nama kurirnya ganti tapi barang ga nyampe nyampe. Udah gabakalan lagi CO barang di tokped",kirim kurir lama lelet udah hari hari bawa kurir belum sampe sampe malah ada tiap hari nama kurir ganti barang ga nyampe nyampe udah gabakalan co barang tokped
Infi nix,"hati-hati belanja di tokped.. sekarang sistemnya nggak jelas, sudah bayar via qris tapi riwayat pembelian gak ada, aneh banget, beli nggak refund juga nggak.. mending belanja di e-commerce yang lain deh",hatihati belanja tokped sekarang sistem jelas bayar via qris riwayat beli gak aneh banget beli refund nggak mending belanja ecommerce lain deh
Multi Purnama Sari,"Mudah belanja di tokopedia. Lengkap dan banyak pilihan.. (Saya kurangi bintangnya 2 biji, kalau scrolling suka ngelag, bikin kesal padahal aplikasi online shop lain seperti lazada, shopee lancar jaya ga ngelag). Ayo gercep perbaiki, biar pengalaman belanja makin menyenangkan.",mudah belanja tokopedia lengkap banyak pilih kurang bintang 2 biji kalau scrolling suka ngelag bikin kesal padahal aplikasi online shop seperti lazada shopee lancar jaya ga ngelag ayo gercep baik biar alam belanja makin senang
devica P.S,"Pembatalan otomatis terlalu lama, 6 hari!!! Berikan kami pilihan kurir rekomendasi bukan ditentukan tokopedia karena kami lebih tau mana yang lebih bagus. SICEPAT sangat TIDAK LAYAK, sudah ada masukan tapi tetap tidak ada tanggapan. Bintang 1 sajalah karena keluhan konsumen diabaikan.",batal otomatis terlalu lama 6 hari ikan pilih kurir rekomendasi bukan tentu tokopedia kami lebih tau mana lebih bagus sicepat sangat layak ada masuk tetap ada tanggap bintang 1 saja keluh konsumen abai
Yesi Yulianti,"Aplikasi buruk, penyelesaian masalah untuk penipuan barang parah dan payah. Sudah 1 bulan lebih masalah masih dibiarkan tanpa penyelesaian yang pasti, saya sebagai pembeli sangat kecewa dan merasa di rugikan. Saya sarankan kepada yang lain jangan mau beli hp second di tokopedia, karena banyak toko penipu ditambah tokopedia yang tidak bisa menyelesaikan komplain barang secara cepat dan tepat. Benar benar aplikasi yang sangat buruk buat saya, terima kasih. 🙏",aplikasi buruk selesai masalah tipu barang parah payah 1 bulan lebih masalah biar selesai pasti bagai beli sangat kecewa rasa rugi saran jangan mau beli hp second tokopedia banyak toko tipu tambah tokopedia tidak selesai komplain barang cepat tepat benar benar aplikasi yang sangat buruk buat terima kasih
