username,review,product
Bagus,"barang original, tp yg saya keluhkan ekspedisinya masak sby-blitar aja 8hari.
tokopedia jangan kerjasama dg JNE pliss",Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men
R***u,wangi bagus tapi kok kalo kena air kek hilang gitu ga bau nya apa emang begitu,Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
Anakva,jos,Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic
Yustian,"Bagus, seller cepat tanggap.",Braven Black Series - 100ml Eau De Parfume Men
F***Y,bagussss,Ms Glow Night Cream White Cell DNA Cream Wajah Pemutih MsGlow
B***s,ori jngn diragukan lagi,Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel
Sulianto,"Packing rapi, barang ori, mantap",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
Landeng,barang packing aman..semoga cocok,Mustika Ratu All Series Shampoo 175ml Perawatan Rambut Mustika Ratu
Kholilah,ngk expec ternyata sebesar itu,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner
A***d,wangi lembut,Grace And Glow - Brightening Body Serum 2in1 Parfume
A***l,Alhamdulillah akhirnya paket datang juga barang datang sesuai pesanan.. makasih seller,MS Glow Whitening Day Cream | Krim Crem Pagi Ms Glow
Mamik,bagus sesuai,Yessica's 5in1 Crystal Glowing Cream Krim Wajah Goat Milk Moisturizer Facial Moist Pelembab Wajah Yessica
Wahyu,"Wanginya sangat nyaman n enak.. gak bikin eneg.. Memang tipe buat malam nih parfum.. 
Kualitas memang bagus..",ELVICTO 10PM Extrait De Parfum For Men EDP Perfume Tahan Lama
c***o,nice,Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
huff,"wanginya g keluar, ky bau air",Parfum Evangeline Batik Elle 100ml / Parfum Wanita Original
EKO,Barang sdh Sampai & Sesuai Pesanan Thanks,Kelaya Hair Revitalizer Mist Hair Parfum Vitamin Rambut Hair Care
Antonius,"Pelayanan cepat, pengiriman sesuai estimasi, terima kasih seller dan Tokopedia",Hotto Purto Multigrain Superfood Purple Potato Sereal Oat Drink Cereal
Hidayanto,barang sudah sampai terimaksih,Facetology Real Oat Triple Care Facial Gel Cleanser Sabun Cuci Muka
Marselinus,Kojie san body scrub dah sampai. Mantapppp👍👍👍,Kojie San Body Scrub Series Lulur Badan Glow Skin Kojic Acid Goat Milk
s***u,"baru mau coba,,semoga cocok",Autumn 7% Glycolic Acid Toner Solution Exfoliating Toner Wajah
L***y,Barang dikemas dengan sangat baik sehingga barang dlm kondisi baik dan bagus. Barang yg diterima sesuai pesanan,Natur-E Advanced Soft Capsule Suplemen Vitamin Penghilang Flek
C***e,Pengiriman standart. Barang diterima dengan kondisi baik. Packing juga baik. Terima kasih,YOONA All Night Pads 29cm / 36cm Pembalut Kesehatan Organik Organic Pad
syabhita,"tekstur nya kayak jelly, semoga cocok deh di aku karena baru nyobain",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel
Shofiyyah,"bahannya ringan, gampang diserap dan enak dipakai pokoknya suka banget deh 
💗💗💗",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel
P***i,"suka bangett, ga bikin berminyak. tampol banget dah",Nuface Cover Me Sun Shield Sunscreen Wajah SPF 30 / SPF 50 Sunblock
n***y,"baru coba pakai semoga cocok di muka q,, kalau cocok next order lagi,,untuk pengiriman lewat tgl estimasi nya..trmksh mimin",The Face Cream Temulawak Krim Wajah Siang & Malam Whitening Cream
A***i,ok mantaf 👍,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men
R***o,meskipun agak riskan lihat packingnya ternyata cukup aman meskipun saat pengiriman paket dilempar kurir botol parfumnya tidak pecah. untuk wangi parfum ini sendiri menuru... ,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance
n***r,"Produk diterima dengan baik, Ketika digunakan produk bertekstur gel dan ketika di apply langsung merata dan menyerap dalam kulit, overall pemakaian seminggu kurleb ada ef... ",Pipiqiu 7% Panthenol + 7% Cica Mugwort Skin Barrier Soothing Moisture Gel Pelembab Wajah Moisturizer
lilis,sama kaya yang di foto semoga bagus,N Pure Cica Clear Pad Sachet Peeling Kapas Pembersih Wajah Npure
R***a,dapatnya yg potent hiks hiks...pdhl berharap yg 10% krn lebih nampol.,SKINTIFIC 10% Vitamin C Brightening Glow Serum Glowing Facial Serum
t***t,mantap aromanya eank,Parfum Evangeline Batik Aura 100ml / Evangeline Batik 100ml Aura
a***a,mantappp,Animate Instant Whitening Glowing Acne Series Paket Skincare Wajah
Fery,Sesuai foto dan deskripsi. Terima kasih.,Kahf Skin Energizing And Brightening Face Wash Sabun Wajah Pria
F***d,Agak ada white cast nya,Azarine Hydracool Ceraspray Sunscreen SPF 50 PA+++ Sunscreen Spray 
J***e,baguss,Chroma Bright Brightening Body Soap Flohera Sabun Mandi Pemutih Badan
y***a,blm dicoba smga cck asli gede bgt barang nya,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner
Fauziah,bagus cuman ini bukan botol pum nya,Facetology Triple Care Hydra Cleanse Micellar Water Pembersih Make Up
V***a,"yang seri ini wanginya biasa semua, banyak yang sama dengan parfum lainnya. kayanya ketahanannya kurang, intinya spl kurang.",Talkme Star Series Eau De Parfum EDP Parfume Minyak Wangi Luxury Mewah Talk Me
V***a,"yang ini enak wanginya, tapi masih perlu diuji untuk ketahanan",Talkme Perfume Men And Women Set Series Eau De Perfume Parfum 
Raflie,"mantap barang mendarat dengan aman, sudah dipacking dengan bubble wrap",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
F***i,sesuai pesanannn,Ms Glow Paket Acne Series Free Pouch / Cream Penghilang Jerawat
C***A,Kualitas barang ok. Penjual responsif. Terima kasih.,TRUEVE Gentle Low pH Facial Cleanser
Febri,"belum aku coba day cream nya ,semoga cocok di kulit aku,soalnya kulit ku sensitif, aku mau pake day cream nya karena aku gamau di bilang magrib,dan semoga aku cocok biar... ",Animate Instant Whitening Glowing Acne Series Paket Skincare Wajah
dini,oke bgtt bikin cerah juga apalagi kalo kringetan yaa bikin muka glowing naturalll😍😍,Animate Acne Solution Series 5in1 Paket Skincare Penghilang Jerawat
L***a,sugoi pokonya,Bioaqua Brightening Facial Exfoliating Gel Scrub Wajah Peeling Gel Face Scrub
j***a,"suka bgt sama wanginya, overall puas✨",ELVICTO 10PM Extrait De Parfum For Men EDP Perfume Tahan Lama 
sonhaji,"sudah cocok dgn ini, gentle gak bikin beruntusan, gak bikin kering tp bs membersihkan dg seksama",NPURE Gel Cleanser Noni Probiotics Cleanse Me Softly
yhw,barang bagus tapi kelakuan penjualnya ampun. dia bilang barang ready bisa dikirim gosend instan. ternyata dikirim besoknya itu pun ga dikirim pagi2 tapi siang. alasannya... ,O.TWO.O Makeup Base Cream Invisible Pore Soft Focus Make Up Primer Zero Pores Primer Face Primer
Benny,"kemarin saya tanyakan apa bisa kirim instant, dijawab bisa, saya bayar dengan biaya kirim instant 3 jam, dan barang baru dikirim keesokan harinya, kalau tahu gitu buat ap... ",Orizen Peach Powder Drink Minuman Serbuk Pelangsing Peach Detox Tea 
r***a,"aman pokoknya, puasss sekaliijsjsjsjwjjsjsn",Autumn 7% Glycolic Acid Toner Solution Exfoliating Toner Wajah
